Sample ID,Subplot,Coreplot,Location,Fertilizer ,Weeding,Fertilizer weeding,Sampling_date,Template,Shannon index,N,C,pH,Na,K,Ca,Mg,Mn,Fe,Al,S,P
r_OM3cwe,OM3cwe,OM3cw,OM3,conventional,mechanical,conventional_mechanical,13.05.2017,RNA,7.5,0.12,1.61,4.76,0.018,0.017,0.349,0.191,0.014,6.608,31.564,0.131,0.151
r_OM3rha,OM3rha,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,RNA,7.68,0.07,0.99,5.01,0.007,0.016,0.226,0.193,0.018,6.83,26.604,0.077,0.113
r_OM3rhb,OM3rhb,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,RNA,7.52,0.13,1.97,4.62,0.102,0.032,0.216,0.232,0.018,8.044,30.875,0.146,0.114
r_OM3rhc,OM3rhc,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,RNA,7.04,0.08,1.24,4.59,0.079,0.031,0.016,0.208,0.017,9.164,37.484,0.103,0.072
r_OM3rhd,OM3rhd,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,RNA,7.05,0.08,1.18,4.46,0.022,0.023,0.022,0.149,0.016,8.006,32.805,0.1,0.227
r_OM3rhe,OM3rhe,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,RNA,7.59,0.24,3.36,5.04,0.52,0.026,0.477,0.176,0.022,7.405,30.545,0.256,0.252
r_OM3rwa,OM3rwa,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,RNA,7.48,0.13,1.87,4.48,0.024,0.016,0.327,0.124,0.012,6.329,31.792,0.134,0.552
r_OM3rwb,OM3rwb,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,RNA,7.8,0.13,1.84,5.16,0.085,0.01,1.065,0.185,0.016,6.071,31.971,0.158,0.613
r_OM3rwc,OM3rwc,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,RNA,7.54,0.11,1.51,5.83,-0.011,-0.009,0.914,0.356,0.021,5.247,25.996,0.105,0.356
r_OM3rwd,OM3rwd,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,RNA,7.44,0.13,1.47,4.94,0.004,0.001,0.738,0.128,0.016,4.925,25.787,0.12,0.882
r_OM3rwe,OM3rwe,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,RNA,7.92,0.14,1.91,5.78,0.002,-0.01,0.763,0.194,0.015,3.342,18.057,0.089,0.281
r_OM4cha,OM4cha,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,RNA,7.99,0.11,1.74,6.37,0.017,0.132,5.018,0.57,0.023,2.875,17.792,0.123,0.663
r_OM4chb,OM4chb,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,RNA,7.67,0.09,1.29,5.56,0.026,0.091,0.318,0.232,0.016,3.955,25.223,0.088,0.122
r_OM4chc,OM4chc,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,RNA,7.17,0.11,1.47,5.09,0.023,0.05,0.056,0.121,0.02,4.499,24.611,0.123,0.107
r_OM4chd,OM4chd,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,RNA,7.38,0.07,0.94,5.88,0.026,0.168,0.673,0.21,0.023,3.385,16.455,0.08,0.442
r_OM4che,OM4che,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,RNA,8.09,0.05,0.7,5.77,0.005,0.034,0.328,0.129,0.016,3.456,15.941,0.061,0.168
r_OM4cwa,OM4cwa,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,RNA,8.02,0.11,1.45,5.35,0.138,0.076,0.503,0.208,0.019,4.624,23.915,0.123,0.215
r_OM4cwb,OM4cwb,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,RNA,7.4,0.07,0.87,4.66,0.043,0.125,0.053,0.215,0.025,5.773,32.594,0.072,0.054
r_OM4cwc,OM4cwc,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,RNA,7.83,0.08,1.12,5.54,0.636,92,0.365,0.359,0.019,4.785,25.808,0.086,0.117
r_OM4cwd,OM4cwd,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,RNA,7.47,0.1,1.31,4.69,0.068,0.088,0.173,0.191,0.021,5.375,28.278,0.112,0.103
r_OM4cwe,OM4cwe,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,RNA,7.9,0.05,0.74,6.56,0.105,0.027,1.224,0.406,0.024,3.576,18.779,0.072,0.391
r_OM4rha,OM4rha,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,RNA,7.72,0.14,1.83,4.5,0.028,0.076,0.178,0.214,0.016,6.526,21.252,0.14,0.115
r_OM4rhb,OM4rhb,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,RNA,8.11,0.13,1.62,5.52,0.033,0.066,0.506,0.291,0.031,6.729,21.376,0.123,0.124
r_OM4rhc,OM4rhc,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,RNA,7.22,0.07,0.92,4.83,-0.004,0.035,0.135,0.157,0.019,5.295,17.239,0.085,0.09
r_OM4rhd,OM4rhd,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,RNA,7.04,0.07,1.16,5.31,0.008,54,0.356,0.294,0.018,6.851,23.607,0.074,0.071
r_OM4rhe,OM4rhe,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,RNA,7.72,0.06,0.71,5.4,-0.003,0.045,0.197,0.18,0.036,5.497,14.016,0.054,0.092
r_OM4rwa,OM4rwa,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,RNA,8.14,0.19,2.97,6.39,0.04,0.121,2.22,0.789,0.044,3.926,23.767,0.203,0.386
r_OM4rwb,OM4rwb,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,RNA,7.25,0.06,0.84,4.9,0.057,0.149,0.115,0.182,0.018,4.078,23.545,0.061,0.074
r_OM4rwc,OM4rwc,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,RNA,7.82,0.07,0.9,4.51,0.016,0.106,0.091,0.136,0.023,3.176,18.947,0.077,0.101
r_OM4rwd,OM4rwd,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,RNA,7.73,0.11,1.79,4.7,0.023,0.122,0.18,0.191,0.022,3.643,23.147,0.107,0.098
r_OM4rwe,OM4rwe,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,RNA,7.55,0.14,2.21,5.53,0.012,0.08,0.686,0.27,0.031,3.513,20.561,0.13,0.193
